Name,Industry,Sector,Headquarters,Founded,Notes
Aban Offshore,Oil & gas,Exploration & production,Chennai,1986,"Oil, petrochemical"
ABG Shipyard,Industrials,Shipbuilding,Ahmedabad,1985,Ship engineering
ABP Group,Consumer services,Broadcasting & entertainment,Kolkata,1922,"Media, news"
ACC Limited,Industrials,Building materials & fixtures,Mumbai,1936,Cement
Acko General Insurance,Insurance,Insurance,Mumbai,2016,Insurance
Action Construction Equipment (ACE),Heavy equipment,Construction equipment,Faridabad,1995,"Bulldozer,Cranes"
ACG Group,Conglomerate,Pharmaceutical materials & machinery,Mumbai,1961,Machinery
Action Group,Conglomerate,-,New Delhi,1972,"Apparel, chemicals, retail, steel"
Adani Group,Conglomerate,-,Ahmedabad,1988,Conglomerate
Aditya Birla Group,Conglomerate,-,Mumbai,1857,"Agribusiness, cement, chemicals"
Ador Group,Conglomerate,-,Mumbai,1977,"Electronics, energy, chemicals"
Advanced Weapons and Equipment India,Industrials,Defense,Kanpur,2021,Weapons
Afcons Infrastructure,Industrials,Heavy construction,Mumbai,1959,Constructions
Agriculture Insurance Company of India,Insurance,Insurance,New Delhi,2002,Insurance
Air Costa,Consumer services,Airlines,Vijayawada,2013,Defunct 2017
Air India,Consumer services,Airlines,New Delhi,1932,Airline
Air India Express,Consumer services,Airlines,Kochi,2005,"Low-cost airline, part of Air India"
Allcargo Logistics,Industrials,Delivery services,Mumbai,1993,Logistics
Alkem Laboratories,Health care,Pharmaceuticals,Mumbai,1973,Pharma
Amartex,Consumer services,Apparel retailers,Gurugram,1984,Clothing retail
Ambuja Cements,Industrials,Building materials & fixtures,Mumbai,1983,Cement
Amrutanjan Healthcare,Health care,Pharmaceuticals,Chennai,1893,Alternative medicines
Amul,Consumer goods,Food products,Anand,1946,Dairy
Angel One,Financials,Stock broker,Mumbai,1996,Stock broker
Apollo Hospitals,Health care,Health care providers,Chennai,1983,Hospital chain
Apollo Tyres,Consumer goods,Tires,Gurugram,1972,"Tyres, parts"
Aptech,Industrials,Business training & employment agencies,Mumbai,1986,Training
Archies,Consumer services,Specialty retailers,New Delhi,1979,Greeting cards
Arise India,Consumer goods,Consumer electronics,Delhi,1995,Electrical goods
Artemis Hospital,Health care,Hospital,Gurgaon,2007,Hospital
Arvind,Conglomerate,-,Ahmedabad,1931,"Clothing, engineering, real estate"
Armoured Vehicles Nigam (AVANI),Industrials,Defense,Chennai,2021,Armoured Vehicles
Atul,Integrated Chemicals,Chemicals,Ahmedabad,1947,Integrated Chemicals
Ashok Leyland,Industrials,Commercial vehicles & trucks,Chennai,1948,"Bus, trucks, defense vehicles"
Asia MotorWorks,Industrials,Commercial vehicles & trucks,Mumbai,2002,Trucks
Asian Paints Ltd,Basic materials,Paints and coatings,Mumbai,1942,Paints
Avantha Group,Conglomerate,-,New Delhi,1919,"Chemicals, I/T, BPO"
Axis Bank,Financials,Banks,Ahmedabad,1993,"Private sector bank, but majority shareholder is Central Government"
Bajaj Auto,Consumer goods,Automobiles,Pune,1945,"Motorcycles, part of Bajaj Group"
Bajaj Group,Conglomerate,-,Pune,1945,"Motorcycles, Financial Services, Electricals, Sugar, Iron & Steel, Insurance, Consumer goods"
Balaji Group,Conglomerate,-,Mumbai,1926,"Automotive, financials, insurance"
Balaji Telefilms,Consumer services,Broadcasting & entertainment,Mumbai,1994,Film production
Ballarpur Industries Limited,Basic materials,Paper,Gurugram,1945,Paper
Bank of Baroda,Financials,Banks,Vadodara,1908,State-owned bank
Bank of India,Financials,Banks,Mumbai,1906,Government-owned bank
Bank of Maharashtra,Financials,Banks,Pune,1935,Government-owned bank
Bellatrix Aerospace,Space,Rocket & space,Bengaluru,2015,Launch Vehicle & Satellite
BGR Energy Systems Ltd,Oil & gas,Equipment & services,Chennai,1952,
BluSmart Mobility,Ride-sharing,Ride-sharing,Gurgaon,2019,Ride-sharing
Bharat Aluminium Company,Basic materials,Aluminium,New Delhi,1965,"Aluminium, part of Vedanta Resources (UK)"
Bharat Biotech,Health care,Biotecnology,Hyderabad,1996,Drug Development & Vaccine
Bharat Dynamics Limited,Industrials,Aerospace & defense,Hyderabad,1970,"State-owned missiles, defense"
Bharat Earth Movers,Industrials,Commercial vehicles & trucks,Bengaluru,1964,"Defense vehicles, heavy construction vehicles, rail vehicles"
Bharat Electronics Limited,Industrials,Aerospace & defense,Bengaluru,1954,"State-owned electronics, defense"
Bharat Forge,Industrials,Industrial engineering,Pune,1961,"Engineering and machinery, part of Kalyani Group"
Bharat Heavy Electricals,Industrials,Electrical components & equipment,New Delhi,1964,State electrical engineering
Bharat Petroleum,Oil & gas,Exploration & production,Mumbai,1976,State petrochemical
Bharat Sanchar Nigam Limited,Telecommunications,Fixed line telecommunications,New Delhi,2000,State telecom
Bharati Shipyard,Industrials,Shipbuilding,Mumbai,1973,Shipyard
Bharti Airtel,Telecommunications,Mobile telecommunications,New Delhi,1995,Mobile network
Bharatiya Nabhikiya Vidyut Nigam Limited (BHAVINI),Utilities,Nuclear industry,Chennai,2003,State nuclear power generation
Black Box Corporation,Technology,Internet,Navi Mumbai,1975,Parts of Essar Group
Blue Star,Industrials,Electronic & electrical equipment,Mumbai,1943,Home appliance company
Biocon,Health care,Pharmaceuticals & biotechnology,Bengaluru,1978,Pharmaceutical ingredients
Bombay Dyeing,Basic materials,Textile products,Mumbai,1879,Textiles
Bonn Group of Industries,Consumer goods,Food products,Ludhiana,1985,Baked goods
Borosil,Consumer goods,Glass,Mumbai,1962,Glass
BPL Group,Consumer goods,Consumer electronics,Palakkad,1963,Consumer electronics
BrahMos Aerospace,Defense,Missile systems,New Delhi,1998,Missile systems
Britannia Industries,Consumer goods,Food products,Kolkata,1892,Food products
Brigade Enterprises,Real estate,Real estate,Bangalore,1986,Real estate
